Date,Price
2010-03-31,0.003
2010-06-30,0.072
2010-09-30,0.06
2010-12-31,0.22
2011-03-31,0.86
2011-06-30,9.1
2011-09-30,5.8
2011-12-31,4.58
2012-03-31,5.39
2012-06-30,6.54
2012-09-30,12.47
2012-12-31,13.51
2013-03-31,49.1
2013-06-30,89.1
2013-09-30,123
2013-12-31,766
2014-03-31,595
2014-06-30,647
2014-09-30,386
2014-12-31,320
2015-03-31,262
2015-06-30,241
2015-09-30,235
2015-12-31,427
2016-03-31,414
2016-06-30,675
2016-09-30,605
2016-12-31,968
2017-03-31,1088
2017-06-30,2560
2017-09-30,4403
2017-12-31,13870
2018-03-31,7004
2018-06-30,6346
2018-09-30,6589
2018-12-31,3822
2019-03-31,4117
2019-06-30,10870
2019-09-30,8236
2019-12-31,7154
2020-03-31,6422
2020-06-30,9139
2020-09-30,10688
2020-12-31,28985
2021-03-31,58916
2021-06-30,35040
2021-09-30,43347
2021-12-31,47435
2022-03-31,38105
2022-06-30,32349
